City_ID,City,Country,Max Temp,Lat,Lng,Current Description,Hotel Name
14,puerto ayora,EC,82.36,-0.7393,-90.3518,broken clouds,Finch Bay Galapagos Hotel
16,bathsheba,BB,79.41,13.2167,-59.5167,broken clouds,Atlantis Hotel
20,rikitea,PF,79.0,-23.1203,-134.9692,clear sky,People ThankYou
21,pak chong,TH,75.81,14.708,101.4161,light rain,PakChong Phubade Hotel
30,bengkulu,ID,76.26,-3.8004,102.2655,overcast clouds,Grage Hotel Bengkulu
34,praya,CV,77.54,14.9215,-23.5087,clear sky,LT Aparthotel
36,pimenta bueno,BR,79.2,-11.6725,-61.1936,overcast clouds,Cristalina Palace Hotel
37,avarua,CK,82.45,-21.2078,-159.775,few clouds,Paradise Inn
38,guanica,PR,82.51,17.9716,-66.908,clear sky,Copamarina Beach Resort & Spa
45,hilo,US,77.25,19.7297,-155.09,overcast clouds,Hilo Hawaiian Hotel
46,butaritari,KI,81.81,3.0707,172.7902,light rain,Isles Sunset Lodge
48,inhambane,MZ,76.48,-23.865,35.3833,clear sky,Oceano
52,sechura,PE,79.12,-5.5569,-80.8222,overcast clouds,Hospedaje Costa Bella
57,pisco,PE,75.02,-13.7,-76.2167,few clouds,Hotel San Isidro Oficial
58,chavakkad,IN,78.17,10.5333,76.05,scattered clouds,Rajah Island
61,henderson,US,75.11,36.0397,-114.9819,clear sky,Hawthorn Suites By Wyndham Las Vegas/Henderson
63,saint-marc,HT,80.64,19.1082,-72.6938,few clouds,Maguana Hotel
66,faanui,PF,80.58,-16.4833,-151.75,light rain,Bora-Bora Pearl Beach Resort & Spa
69,kapaa,US,78.78,22.0752,-159.319,scattered clouds,Sheraton Kauai Coconut Beach Resort
74,acapulco,MX,82.56,16.8634,-99.8901,clear sky,HS Hotsson Smart Acapulco
75,georgetown,MY,78.89,5.4112,100.3354,few clouds,Cititel Penang
76,atuona,PF,78.51,-9.8,-139.0333,few clouds,Villa Enata
77,cairns,AU,75.07,-16.9167,145.7667,few clouds,Mantra Trilogy Cairns
82,iquitos,PE,86.04,-3.7481,-73.2472,broken clouds,Casa Morey Hotel & Restaurant
90,san isidro,PE,75.51,-12.1167,-77.05,broken clouds,Soul Mate-Inn
91,vallenar,CL,80.71,-28.5708,-70.7581,clear sky,Humacao Bed & Breakfast
95,carnarvon,AU,76.66,-24.8667,113.6333,clear sky,Hospitality Carnarvon
105,hithadhoo,MV,82.13,-0.6,73.0833,scattered clouds,Scoop Guest House
113,koboko,UG,75.04,3.4136,30.9599,overcast clouds,Hotel Diplomat
118,vaini,TO,80.71,-21.2,-175.2,light rain,Keleti Beach Resort
121,butterworth,MY,79.0,5.3991,100.3638,few clouds,Cititel Penang
131,vilhena,BR,77.58,-12.7406,-60.1458,broken clouds,Hotel Mirage
136,caravelas,BR,79.25,-17.7125,-39.2481,clear sky,Pousada dos Navegantes
140,bontang,ID,75.16,0.1333,117.5,light rain,KOPKAR Hotel Bintang Sintuk
143,aden,YE,76.6,12.7794,45.0367,few clouds,Sama Emirate Hotel
144,sao filipe,CV,76.68,14.8961,-24.4956,broken clouds,Hotel Xaguate
146,pochutla,MX,85.82,15.7432,-96.4661,broken clouds,Hotel Posada San Jose
148,san cristobal,VE,80.91,7.7669,-72.225,broken clouds,Posada Villaven C.A.
155,omboue,GA,78.51,-1.5746,9.2618,moderate rain,Hotel Olako
159,singaraja,ID,77.97,-8.112,115.0882,moderate rain,Puri Bagus Lovina Resort
163,wete,TZ,79.18,-5.0559,39.7294,overcast clouds,Sharook Riviera Grand Lodge
164,ewa beach,US,80.1,21.3156,-158.0072,broken clouds,Uncle Junior Robert
165,auki,SB,80.13,-8.7676,160.7034,overcast clouds,Auki Motel
168,zemio,CF,76.46,5.0314,25.1361,broken clouds,OCHA Office
172,kirakira,SB,80.51,-10.4544,161.9205,overcast clouds,SanBiz Lodge
173,napier,NZ,79.25,-39.4833,176.9167,clear sky,The Nautilus Napier
175,mabaruma,GY,79.45,8.2,-59.7833,broken clouds,Monty Brooms Guest House
179,viedma,AR,76.77,-40.8135,-62.9967,light rain,Hotel Cristal
185,itarema,BR,80.8,-2.9248,-39.9167,scattered clouds,"Sea Lounge! Bar, Club & Restaurant"
188,poya,NC,79.99,-21.35,165.15,light rain,
203,cabo san lucas,MX,82.51,22.8909,-109.9124,few clouds,Hotel Tesoro Los Cabos
214,hienghene,NC,79.38,-20.6833,164.9333,overcast clouds,Ka Waboana Lodge
215,acarau,BR,81.12,-2.8856,-40.12,scattered clouds,castelo pizzaria
216,puerto de la cruz,ES,75.34,28.414,-16.5487,overcast clouds,Complejo BLUESEA Puerto Resort
