City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,tasiilaq,GL,65.6145,-37.6368,-2.0,59,74,11.32,broken clouds
1,husavik,IS,66.0449,-17.3389,22.91,65,100,18.28,overcast clouds
2,santa cruz de la palma,ES,28.6835,-17.7642,73.13,64,0,1.14,clear sky
3,nemuro,JP,43.3236,145.575,19.94,78,9,7.02,clear sky
4,shimoda,JP,34.6667,138.95,37.11,95,100,18.16,moderate rain
5,ushuaia,AR,-54.8,-68.3,55.02,46,75,17.27,broken clouds
6,bluff,NZ,-46.6,168.3333,59.81,96,78,5.08,broken clouds
7,kidal,ML,18.4411,1.4078,71.83,7,0,8.5,clear sky
8,yellowknife,CA,62.456,-114.3525,-6.59,79,100,10.36,light snow
9,castro,BR,-24.7911,-50.0119,71.31,77,4,4.43,clear sky
10,port alfred,ZA,-33.5906,26.891,66.97,85,3,7.25,clear sky
11,punta arenas,CL,-53.15,-70.9167,51.91,50,75,31.07,broken clouds
12,te anau,NZ,-45.4167,167.7167,65.41,84,34,4.36,scattered clouds
13,cidreira,BR,-30.1811,-50.2056,73.54,66,31,11.21,scattered clouds
14,puerto ayora,EC,-0.7393,-90.3518,82.36,75,65,7.72,broken clouds
15,barrow,US,71.2906,-156.7887,-29.29,98,34,11.25,scattered clouds
16,bathsheba,BB,13.2167,-59.5167,79.41,65,75,13.8,broken clouds
17,nichinan,JP,31.6,131.3667,44.87,90,100,4.61,overcast clouds
18,mataura,NZ,-46.1927,168.8643,59.49,99,100,0.76,overcast clouds
19,bonavista,CA,48.6499,-53.1147,38.12,94,100,16.08,overcast clouds
20,rikitea,PF,-23.1203,-134.9692,79.0,68,0,15.26,clear sky
21,pak chong,TH,14.708,101.4161,75.81,59,85,3.22,light rain
22,lebu,CL,-37.6167,-73.65,62.69,69,0,22.01,clear sky
23,monywa,MM,22.1167,95.1333,62.04,51,3,6.44,clear sky
24,gazanjyk,TM,39.2446,55.5154,50.4,42,0,6.4,clear sky
25,saint-philippe,RE,-21.3585,55.7679,72.99,82,90,6.02,overcast clouds
26,mareeba,AU,-17.0,145.4333,70.45,94,7,1.88,clear sky
27,ambilobe,MG,-13.2,49.05,74.34,97,100,2.01,moderate rain
28,busselton,AU,-33.65,115.3333,59.09,73,7,10.58,clear sky
29,qaanaaq,GL,77.484,-69.3632,-21.23,80,99,5.12,overcast clouds
30,bengkulu,ID,-3.8004,102.2655,76.26,62,100,3.18,overcast clouds
31,ziarat,PK,30.3823,67.7282,31.5,34,0,5.68,clear sky
32,ponta delgada,PT,37.7333,-25.6667,60.49,77,20,8.05,few clouds
33,upernavik,GL,72.7868,-56.1549,-12.14,70,100,9.28,overcast clouds
34,praya,CV,14.9215,-23.5087,77.54,47,0,13.8,clear sky
35,ladnun,IN,27.65,74.3833,59.81,59,0,6.69,clear sky
36,pimenta bueno,BR,-11.6725,-61.1936,79.2,81,98,2.86,overcast clouds
37,avarua,CK,-21.2078,-159.775,82.45,74,20,12.66,few clouds
38,guanica,PR,17.9716,-66.908,82.51,67,6,11.01,clear sky
39,bredasdorp,ZA,-34.5322,20.0403,67.32,83,69,8.05,broken clouds
40,jamestown,US,42.097,-79.2353,40.64,65,100,12.66,overcast clouds
41,ocos,GT,14.5094,-92.1933,93.7,63,35,10.11,scattered clouds
42,hermanus,ZA,-34.4187,19.2345,68.9,90,54,6.96,broken clouds
43,pangnirtung,CA,66.1451,-65.7125,-16.6,76,20,5.75,few clouds
44,cape town,ZA,-33.9258,18.4232,69.89,79,0,1.14,clear sky
45,hilo,US,19.7297,-155.09,77.25,71,100,4.61,overcast clouds
46,butaritari,KI,3.0707,172.7902,81.81,78,66,14.79,light rain
47,ribeira grande,PT,38.5167,-28.7,59.4,72,20,12.66,few clouds
48,inhambane,MZ,-23.865,35.3833,76.48,78,0,6.96,clear sky
49,hualmay,PE,-11.0964,-77.6139,73.87,70,75,8.61,broken clouds
50,mount pleasant,US,32.7941,-79.8626,62.01,41,0,4.61,clear sky
51,ampanihy,MG,-24.7,44.75,72.72,82,0,4.85,clear sky
52,sechura,PE,-5.5569,-80.8222,79.12,57,100,15.37,overcast clouds
53,norman wells,CA,65.282,-126.8329,-7.56,59,100,26.46,overcast clouds
54,bethel,US,41.3712,-73.414,46.71,54,0,6.87,clear sky
55,mkushi,ZM,-13.6202,29.3939,65.14,95,100,0.85,overcast clouds
56,east london,ZA,-33.0153,27.9116,69.89,79,0,6.22,clear sky
57,pisco,PE,-13.7,-76.2167,75.02,83,20,6.91,few clouds
58,chavakkad,IN,10.5333,76.05,78.17,91,26,9.46,scattered clouds
59,fort nelson,CA,58.8053,-122.7002,8.19,85,100,0.0,overcast clouds
60,iwanai,JP,42.9744,140.5089,9.66,93,47,5.93,scattered clouds
61,henderson,US,36.0397,-114.9819,75.11,20,0,14.97,clear sky
62,la rioja,ES,42.25,-2.5,40.32,58,0,4.52,clear sky
63,saint-marc,HT,19.1082,-72.6938,80.64,65,14,5.91,few clouds
64,ponta do sol,PT,32.6667,-17.1,68.63,56,100,6.42,overcast clouds
65,thompson,CA,55.7435,-97.8558,-0.24,55,20,4.61,few clouds
66,faanui,PF,-16.4833,-151.75,80.58,78,30,15.23,light rain
67,tuktoyaktuk,CA,69.4541,-133.0374,-29.2,75,75,17.27,broken clouds
68,vostok,RU,46.4856,135.8833,-5.4,96,39,4.34,scattered clouds
69,kapaa,US,22.0752,-159.319,78.78,68,25,5.99,scattered clouds
70,chulman,RU,56.8479,124.9104,-39.14,100,100,0.81,overcast clouds
71,artyom,AZ,40.4723,50.333,39.34,75,0,16.96,clear sky
72,smidovich,RU,48.6,133.8167,-5.84,99,100,5.55,overcast clouds
73,airai,TL,-8.9266,125.4092,61.02,93,100,0.76,overcast clouds
74,acapulco,MX,16.8634,-99.8901,82.56,55,0,9.89,clear sky
75,georgetown,MY,5.4112,100.3354,78.89,94,20,4.61,few clouds
76,atuona,PF,-9.8,-139.0333,78.51,77,23,17.02,few clouds
77,cairns,AU,-16.9167,145.7667,75.07,94,17,2.3,few clouds
78,istanbul,TR,41.0351,28.9833,46.06,81,75,6.91,broken clouds
79,den helder,NL,52.9599,4.7593,47.98,98,100,5.99,drizzle
80,ancud,CL,-41.8697,-73.8203,65.43,71,100,9.06,overcast clouds
81,puerto ayacucho,VE,5.6639,-67.6236,94.78,64,72,6.93,broken clouds
82,iquitos,PE,-3.7481,-73.2472,86.04,66,75,5.75,broken clouds
83,hayden,US,47.766,-116.7866,48.97,56,96,1.01,overcast clouds
84,bilibino,RU,68.0546,166.4372,-36.02,100,88,0.56,overcast clouds
85,portland,US,45.5234,-122.6762,58.46,74,93,1.99,overcast clouds
86,saint-pierre,RE,-21.3393,55.4781,73.08,78,40,3.44,scattered clouds
87,puerto del rosario,ES,28.5004,-13.8627,71.28,68,91,5.75,haze
88,rawson,AR,-43.3002,-65.1023,70.88,58,90,14.07,overcast clouds
89,yar-sale,RU,66.8333,70.8333,0.9,96,19,12.39,few clouds
90,san isidro,PE,-12.1167,-77.05,75.51,86,81,3.0,broken clouds
91,vallenar,CL,-28.5708,-70.7581,80.71,39,0,10.36,clear sky
92,souillac,MU,-20.5167,57.5167,74.35,76,78,7.47,broken clouds
93,carrickmacross,IE,53.9728,-6.7189,39.49,85,100,9.73,overcast clouds
94,nuuk,GL,64.1835,-51.7216,23.61,93,100,29.93,heavy snow
